Date,ASII.JK,ADRO.JK,ANTM.JK,MDKA.JK,BMRI.JK,INDF.JK,^JKSE
2025-04-24,4181.09912109375,1523.3367919921875,2048.02783203125,1610.0,4402.9267578125,7002.43896484375,6613.47802734375
2025-04-25,4259.98779296875,1527.3990478515625,2038.501953125,1680.0,4411.9306640625,7219.755859375,6678.9150390625
2025-04-28,4286.28466796875,1543.6480712890625,2028.976318359375,1660.0,4429.9384765625,7171.46337890625,6722.9658203125
2025-04-29,4207.3955078125,1543.6480712890625,2076.604736328125,1720.0,4447.9462890625,7243.90234375,6749.0751953125
2025-04-30,4207.3955078125,1543.6480712890625,2067.0791015625,1670.0,4402.9267578125,7726.8291015625,6766.794921875
2025-05-02,4198.63037109375,1531.4613037109375,2181.3876953125,1690.0,4465.95458984375,7437.07275390625,6815.72998046875
2025-05-05,4189.865234375,1511.150146484375,2209.96484375,1680.0,4483.96240234375,7340.48779296875,6831.9521484375
2025-05-06,4163.568359375,1523.3367919921875,2419.530517578125,1780.0,4483.96240234375,7268.04833984375,6898.19677734375
2025-05-07,4233.69189453125,1543.6480712890625,2619.5703125,1855.0,4456.95068359375,7485.36572265625,6926.22509765625
2025-05-08,4189.865234375,1539.5858154296875,2486.21044921875,1800.0,4312.88720703125,7509.51220703125,6827.75
2025-05-09,4189.865234375,1507.087890625,2552.890380859375,1805.0,4294.87939453125,7702.6826171875,6832.80322265625
2025-05-14,4216.1611328125,1555.834716796875,2429.05615234375,1770.0,4546.98974609375,7606.09716796875,6979.8798828125
2025-05-15,4224.92626953125,1555.834716796875,2429.05615234375,1830.0,4794.5986328125,7823.41455078125,7040.1611328125
2025-05-16,4277.5185546875,1746.759521484375,2514.78759765625,1935.0,4929.6572265625,8161.46337890625,7106.52587890625
2025-05-19,4330.111328125,1884.87548828125,2590.9931640625,2070.0,4974.67724609375,7944.14599609375,7141.0908203125
2025-05-20,4259.98779296875,1795.5062255859375,2600.51904296875,2020.0,4862.1279296875,7606.09716796875,7094.60205078125
2025-05-21,4370.41845703125,1754.8841552734375,2771.981689453125,2050.0,4907.1474609375,7702.6826171875,7142.4609375
2025-05-22,4332.984375,1746.759521484375,2819.6103515625,2030.0,4907.1474609375,7630.24365234375,7166.98095703125
2025-05-23,4435.927734375,1706.1373291015625,2981.54736328125,2040.0,4884.6376953125,7581.951171875,7214.1630859375
2025-05-26,4426.5693359375,1698.0126953125,2962.495849609375,2060.0,4929.6572265625,7581.951171875,7188.35302734375
2025-05-27,4398.49365234375,1860.502197265625,2886.290283203125,2040.0,4862.1279296875,7606.09716796875,7198.966796875
2025-05-28,4538.87158203125,1787.3818359375,2962.495849609375,2020.0,4772.08837890625,7606.09716796875,7175.81884765625
2025-06-02,4473.36181640625,1730.5106201171875,3162.535888671875,2120.0,4569.49951171875,7412.9267578125,7065.06884765625
2025-06-03,4398.49365234375,1706.1373291015625,3200.638671875,2070.0,4546.98974609375,7557.8046875,7044.82177734375
2025-06-04,4314.267578125,1706.1373291015625,3381.627197265625,2240.0,4524.47998046875,7944.14599609375,7069.037109375
2025-06-05,4314.267578125,1722.3861083984375,3286.3701171875,2160.0,4569.49951171875,7871.70703125,7113.4248046875
2025-06-10,4304.90869140625,1714.26171875,3105.381591796875,2140.0,4727.06884765625,7920.0,7230.7451171875
2025-06-11,4314.267578125,1722.3861083984375,3124.43310546875,2230.0,4682.048828125,8209.755859375,7222.4560546875
2025-06-12,4267.47509765625,1722.3861083984375,3019.650146484375,2190.0,4659.5390625,7944.14599609375,7204.3701171875
2025-06-13,4276.8330078125,1759.1474609375,3143.484375,2230.0,4637.029296875,8040.7314453125,7166.06494140625
2025-06-16,4314.267578125,1763.556396484375,3124.43310546875,2200.0,4637.029296875,7944.14599609375,7117.5908203125
2025-06-17,4304.90869140625,1763.556396484375,3305.42138671875,2250.0,4592.00927734375,7920.0,7155.85205078125
2025-06-18,4295.55029296875,1754.7386474609375,3381.627197265625,2240.0,4569.49951171875,7847.560546875,7107.7890625
2025-06-19,4239.3994140625,1697.4229736328125,3172.0615234375,2140.0,4474.9580078125,7775.12158203125,6968.63916015625
2025-06-20,4201.9658203125,1640.107421875,3048.227294921875,2020.0,4438.94287109375,7775.12158203125,6907.13818359375
2025-06-23,4145.814453125,1587.2008056640625,3190.0,2040.0,4429.9384765625,7654.39013671875,6787.14013671875
2025-06-24,4183.248046875,1600.4273681640625,3090.0,1995.0,4524.47998046875,7654.39013671875,6869.1708984375
2025-06-25,4183.248046875,1573.9739990234375,2930.0,1805.0,4393.9228515625,7775.12158203125,6832.14306640625
2025-06-26,4164.53125,1578.3829345703125,2940.0,1830.0,4524.47998046875,7775.12158203125,6897.39990234375
2025-06-30,4211.32373046875,1613.6541748046875,3040.0,2000.0,4393.9228515625,7847.560546875,6927.67919921875
2025-07-01,4164.53125,1613.6541748046875,3070.0,2030.0,4276.87158203125,7920.0,6915.35986328125
2025-07-02,4248.75830078125,1565.15625,2990.0,1995.0,4294.87939453125,7975.0,6881.2451171875
2025-07-03,4276.8330078125,1551.9296875,3120.0,2090.0,4267.86767578125,8100.0,6878.05078125
2025-07-04,4323.6259765625,1547.520751953125,3000.0,2070.0,4267.86767578125,8100.0,6865.19189453125
2025-07-07,4379.77685546875,1534.2940673828125,2910.0,2050.0,4267.86767578125,8100.0,6900.93212890625
2025-07-08,4361.06005859375,1538.7030029296875,2930.0,2080.0,4249.85986328125,8025.0,6904.39208984375
2025-07-09,4417.2109375,1534.2940673828125,2920.0,2110.0,4240.85595703125,8175.0,6943.921875
2025-07-10,4379.77685546875,1622.471923828125,2990.0,2110.0,4339.8994140625,8150.0,7005.37109375
2025-07-11,4407.8525390625,1648.92529296875,2990.0,2110.0,4474.9580078125,8250.0,7047.43798828125
2025-07-14,4398.49365234375,1609.2451171875,3030.0,2090.0,4222.84814453125,8350.0,7097.15087890625
2025-07-15,4398.49365234375,1600.4273681640625,3000.0,2150.0,4231.85205078125,8325.0,7140.47412109375
2025-07-16,4445.2861328125,1622.471923828125,2990.0,2130.0,4222.84814453125,8275.0,7192.01806640625
2025-07-17,4482.72021484375,1613.6541748046875,3010.0,2210.0,4249.85986328125,8225.0,7287.02099609375
2025-07-18,4445.2861328125,1618.06298828125,2970.0,2420.0,4267.86767578125,8225.0,7311.9150390625
2025-07-21,4454.64501953125,1662.15185546875,3190.0,2450.0,4213.84423828125,8300.0,7398.19189453125
